date,temp_max,temp_min,rainfall,windspeed,temp_max_lag1,temp_max_lag2,temp_max_lag3,temp_min_lag1,temp_rolling_7d,temp_range_lag1,rainfall_lag1,month,day_of_year
2020-01-08,15.3,10.3,17.5,14.5,17.8,17.0,19.8,11.1,18.52857142857143,6.700000000000001,2.1,1,8
2020-01-09,15.9,7.1,0.0,16.1,15.3,17.8,17.0,10.3,18.185714285714287,5.0,17.5,1,9
2020-01-10,16.6,5.8,0.0,16.1,15.9,15.3,17.8,7.1,17.67142857142857,8.8,0.0,1,10
2020-01-11,16.9,5.4,0.0,11.3,16.6,15.9,15.3,5.8,17.32857142857143,10.8,0.0,1,11
2020-01-12,19.7,5.9,0.0,10.9,16.9,16.6,15.9,5.4,17.042857142857144,11.499999999999998,0.0,1,12
2020-01-13,20.6,9.2,16.6,19.3,19.7,16.9,16.6,5.9,17.02857142857143,13.799999999999999,0.0,1,13
2020-01-14,18.2,10.4,0.3,11.7,20.6,19.7,16.9,9.2,17.54285714285714,11.400000000000002,16.6,1,14
2020-01-15,18.6,7.3,0.0,12.2,18.2,20.6,19.7,10.4,17.599999999999998,7.799999999999999,0.3,1,15
2020-01-16,15.8,9.4,11.1,10.0,18.6,18.2,20.6,7.3,18.071428571428573,11.3,0.0,1,16
2020-01-17,17.9,10.2,0.6,11.0,15.8,18.6,18.2,9.4,18.057142857142857,6.4,11.1,1,17
2020-01-18,17.2,8.9,0.2,10.9,17.9,15.8,18.6,10.2,18.242857142857144,7.699999999999999,0.6,1,18
2020-01-19,17.5,7.8,0.0,12.7,17.2,17.9,15.8,8.9,18.285714285714285,8.299999999999999,0.2,1,19
2020-01-20,17.5,7.2,0.0,12.5,17.5,17.2,17.9,7.8,17.97142857142857,9.7,0.0,1,20
2020-01-21,18.2,9.3,0.0,9.5,17.5,17.5,17.2,7.2,17.52857142857143,10.3,0.0,1,21
2020-01-22,18.8,7.4,0.0,15.1,18.2,17.5,17.5,9.3,17.52857142857143,8.899999999999999,0.0,1,22
2020-01-23,17.8,8.4,0.0,23.2,18.8,18.2,17.5,7.4,17.557142857142857,11.4,0.0,1,23
2020-01-24,19.2,8.4,0.0,22.6,17.8,18.8,18.2,8.4,17.842857142857145,9.4,0.0,1,24
2020-01-25,18.2,5.2,0.0,9.8,19.2,17.8,18.8,8.4,18.02857142857143,10.799999999999999,0.0,1,25
2020-01-26,20.2,7.1,0.0,10.5,18.2,19.2,17.8,5.2,18.17142857142857,13.0,0.0,1,26
2020-01-27,20.0,8.6,0.4,16.7,20.2,18.2,19.2,7.1,18.557142857142853,13.1,0.0,1,27
2020-01-28,19.3,10.9,16.0,20.7,20.0,20.2,18.2,8.6,18.91428571428571,11.4,0.4,1,28
2020-01-29,18.5,10.2,0.5,10.2,19.3,20.0,20.2,10.9,19.071428571428573,8.4,16.0,1,29
2020-01-30,18.1,8.4,0.0,17.8,18.5,19.3,20.0,10.2,19.02857142857143,8.3,0.5,1,30
2020-01-31,17.5,7.4,0.0,12.7,18.1,18.5,19.3,8.4,19.071428571428573,9.700000000000001,0.0,1,31
2020-02-01,18.3,7.6,0.0,12.5,17.5,18.1,18.5,7.4,18.82857142857143,10.1,0.0,2,32
